SoyCristina Carrillo me dispongo a pimplar cerveza
SoyCristina Carrillo me dispongo a pimplar cerveza
SoyCristina Carrillo me dispongo a pimplar cerveza
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 cl, y su tasa de alcoholemia UBE es de : 0.0010800001
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.2 l, y su tasa de alcoholemia UBE es de : 0.0432 En el barril quedan 23.700016 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.5 l, y su tasa de alcoholemia UBE es de : 0.054 En el barril quedan 22.800018 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.8 l, y su tasa de alcoholemia UBE es de : 0.064799994 En el barril quedan 21.90002 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.1 l, y su tasa de alcoholemia UBE es de : 0.0756 En el barril quedan 17.100033 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.3999999 l, y su tasa de alcoholemia UBE es de : 0.086399995 En el barril quedan 13.200033 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.6999998 l, y su tasa de alcoholemia UBE es de : 0.097200006 En el barril quedan 11.100032 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.9999998 l, y su tasa de alcoholemia UBE es de : 0.107999995 En el barril quedan 10.500031 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.2999997 l, y su tasa de alcoholemia UBE es de : 0.11879999 En el barril quedan 8.40003 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.5999997 l, y su tasa de alcoholemia UBE es de : 0.12959999 En el barril quedan 7.2000294 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.8999996 l, y su tasa de alcoholemia UBE es de : 0.14039999 En el barril quedan 4.800028 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 4.2 l, y su tasa de alcoholemia UBE es de : 0.1512 En el barril quedan 1.8000278 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 29.7 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.0216 En el barril quedan 29.100002 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su tasa de alcoholemia UBE es de : 0.0324 En el barril quedan 27.900005 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.2 l, y su tasa de alcoholemia UBE es de : 0.0432 En el barril quedan 25.80001 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 26.40001 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.0216 En el barril quedan 26.10001 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su tasa de alcoholemia UBE es de : 0.0324 En el barril quedan 22.800018 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.2 l, y su tasa de alcoholemia UBE es de : 0.0432 En el barril quedan 18.900028 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.5 l, y su tasa de alcoholemia UBE es de : 0.054 En el barril quedan 17.100033 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.8 l, y su tasa de alcoholemia UBE es de : 0.064799994 En el barril quedan 15.3000345 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.1 l, y su tasa de alcoholemia UBE es de : 0.0756 En el barril quedan 11.700032 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.3999999 l, y su tasa de alcoholemia UBE es de : 0.086399995 En el barril quedan 5.7000284 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.6999998 l, y su tasa de alcoholemia UBE es de : 0.097200006 En el barril quedan 3.3000276 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.9999998 l, y su tasa de alcoholemia UBE es de : 0.107999995 En el barril quedan 2.1000278 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
SoyCristina Carrillo me dispongo a pimplar cerveza
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 29.7 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.0216 En el barril quedan 29.400002 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su tasa de alcoholemia UBE es de : 0.0324 En el barril quedan 28.200005 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.2 l, y su tasa de alcoholemia UBE es de : 0.0432 En el barril quedan 26.700008 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.5 l, y su tasa de alcoholemia UBE es de : 0.054 En el barril quedan 24.600014 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 28.800003 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.0216 En el barril quedan 25.80001 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su tasa de alcoholemia UBE es de : 0.0324 En el barril quedan 24.000015 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.2 l, y su tasa de alcoholemia UBE es de : 0.0432 En el barril quedan 21.300022 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.5 l, y su tasa de alcoholemia UBE es de : 0.054 En el barril quedan 20.100025 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.8 l, y su tasa de alcoholemia UBE es de : 0.064799994 En el barril quedan 19.500027 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.1 l, y su tasa de alcoholemia UBE es de : 0.0756 En el barril quedan 18.600029 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.3999999 l, y su tasa de alcoholemia UBE es de : 0.086399995 En el barril quedan 18.00003 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.6999998 l, y su tasa de alcoholemia UBE es de : 0.097200006 En el barril quedan 16.200035 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.9999998 l, y su tasa de alcoholemia UBE es de : 0.107999995 En el barril quedan 12.900033 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.2999997 l, y su tasa de alcoholemia UBE es de : 0.11879999 En el barril quedan 11.400032 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.5999997 l, y su tasa de alcoholemia UBE es de : 0.12959999 En el barril quedan 7.5000296 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.8999996 l, y su tasa de alcoholemia UBE es de : 0.14039999 En el barril quedan 6.600029 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 4.2 l, y su tasa de alcoholemia UBE es de : 0.1512 En el barril quedan 4.5000277 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 28.500004 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.0216 En el barril quedan 25.80001 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su tasa de alcoholemia UBE es de : 0.0324 En el barril quedan 23.700016 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.2 l, y su tasa de alcoholemia UBE es de : 0.0432 En el barril quedan 21.90002 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.5 l, y su tasa de alcoholemia UBE es de : 0.054 En el barril quedan 20.400024 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.8 l, y su tasa de alcoholemia UBE es de : 0.064799994 En el barril quedan 18.600029 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.1 l, y su tasa de alcoholemia UBE es de : 0.0756 En el barril quedan 17.100033 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.3999999 l, y su tasa de alcoholemia UBE es de : 0.086399995 En el barril quedan 15.000034 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.6999998 l, y su tasa de alcoholemia UBE es de : 0.097200006 En el barril quedan 14.400034 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.9999998 l, y su tasa de alcoholemia UBE es de : 0.107999995 En el barril quedan 11.700032 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.2999997 l, y su tasa de alcoholemia UBE es de : 0.11879999 En el barril quedan 9.300031 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.5999997 l, y su tasa de alcoholemia UBE es de : 0.12959999 En el barril quedan 7.2000294 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.8999996 l, y su tasa de alcoholemia UBE es de : 0.14039999 En el barril quedan 6.0000286 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 4.2 l, y su tasa de alcoholemia UBE es de : 0.1512 En el barril quedan 4.5000277 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 4.5 l, y su tasa de alcoholemia UBE es de : 0.162 En el barril quedan 3.9000275 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 4.8 l, y su tasa de alcoholemia UBE es de : 0.1728 En el barril quedan 3.3000276 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 5.1000004 l, y su tasa de alcoholemia UBE es de : 0.18360001 En el barril quedan 2.4000278 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 5.4000006 l, y su tasa de alcoholemia UBE es de : 0.19440003 En el barril quedan 1.200028 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 5.700001 l, y su tasa de alcoholemia UBE es de : 0.20520002 En el barril quedan 0.90002793 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 6.000001 l, y su tasa de alcoholemia UBE es de : 0.21600004 En el barril quedan 0.6000279 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 6.000029 l, y su tasa de alcoholemia UBE es de : 0.21600105 En el barril quedan 0.0 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 27.600006 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.0216 En el barril quedan 26.10001 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 29.400002 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.0216 En el barril quedan 24.900013 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 29.7 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.0216 En el barril quedan 29.400002 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su tasa de alcoholemia UBE es de : 0.0324 En el barril quedan 27.600006 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.2 l, y su tasa de alcoholemia UBE es de : 0.0432 En el barril quedan 25.500011 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.5 l, y su tasa de alcoholemia UBE es de : 0.054 En el barril quedan 23.100018 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.8 l, y su tasa de alcoholemia UBE es de : 0.064799994 En el barril quedan 20.700024 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.1 l, y su tasa de alcoholemia UBE es de : 0.0756 En el barril quedan 19.500027 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.3999999 l, y su tasa de alcoholemia UBE es de : 0.086399995 En el barril quedan 15.900035 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.6999998 l, y su tasa de alcoholemia UBE es de : 0.097200006 En el barril quedan 13.800034 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.9999998 l, y su tasa de alcoholemia UBE es de : 0.107999995 En el barril quedan 13.500033 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.2999997 l, y su tasa de alcoholemia UBE es de : 0.11879999 En el barril quedan 11.700032 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.5999997 l, y su tasa de alcoholemia UBE es de : 0.12959999 En el barril quedan 8.40003 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.8999996 l, y su tasa de alcoholemia UBE es de : 0.14039999 En el barril quedan 4.800028 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 4.2 l, y su tasa de alcoholemia UBE es de : 0.1512 En el barril quedan 3.3000276 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 4.5 l, y su tasa de alcoholemia UBE es de : 0.162 En el barril quedan 2.7906895E-5 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 1.0800002 En el barril quedan 29.400002 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 2.1600003 En el barril quedan 27.900005 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su tasa de alcoholemia UBE es de : 3.24 En el barril quedan 23.700016 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.2 l, y su tasa de alcoholemia UBE es de : 4.3200006 En el barril quedan 22.20002 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.5 l, y su tasa de alcoholemia UBE es de : 5.4 En el barril quedan 20.700024 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.8 l, y su tasa de alcoholemia UBE es de : 6.48 En el barril quedan 17.100033 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.1 l, y su tasa de alcoholemia UBE es de : 7.5599995 En el barril quedan 15.600035 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.10800002 En el barril quedan 29.100002 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.21600004 En el barril quedan 28.200005 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su tasa de alcoholemia UBE es de : 0.324 En el barril quedan 26.40001 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.2 l, y su tasa de alcoholemia UBE es de : 0.43200007 En el barril quedan 25.200012 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.5 l, y su tasa de alcoholemia UBE es de : 0.54 En el barril quedan 20.700024 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su cerveza en sangre es  : 0.3 En el barril quedan 28.500004 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su cerveza en sangre es  : 0.6 En el barril quedan 27.000008 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su cerveza en sangre es  : 0.90000004 En el barril quedan 25.200012 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.2 l, y su cerveza en sangre es  : 1.2 En el barril quedan 22.20002 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.5 l, y su cerveza en sangre es  : 1.5 En el barril quedan 18.600029 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.8 l, y su cerveza en sangre es  : 1.8 En el barril quedan 18.30003 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.1 l, y su cerveza en sangre es  : 2.1 En el barril quedan 15.600035 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.3999999 l, y su cerveza en sangre es  : 2.3999999 En el barril quedan 11.400032 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.6999998 l, y su cerveza en sangre es  : 2.6999998 En el barril quedan 8.70003 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.9999998 l, y su cerveza en sangre es  : 2.9999998 En el barril quedan 6.300029 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.2999997 l, y su cerveza en sangre es  : 3.2999997 En el barril quedan 4.2000275 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha pasado bebiendo. Tiene que reposra un poco antes de seguir
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.5999997 l, y su cerveza en sangre es  : 2.0999997 En el barril quedan 1.200028 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.8999996 l, y su cerveza en sangre es  : 2.3999996 En el barril quedan 0.90002793 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 4.2 l, y su cerveza en sangre es  : 2.6999996 En el barril quedan 0.6000279 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 4.5 l, y su cerveza en sangre es  : 2.7000275 En el barril quedan 2.7906895E-5 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se encuentra que el barril está vacio. Espera a que lo llenen
Cristina Carrillo se encuentra que el barril está vacio. Espera a que lo llenen
Cristina Carrillo se encuentra que el barril está vacio. Espera a que lo llenen
